stock,p_e_ratio,p_b_ratio,p_s_ratio,ev_ebitda,ev_gp,current_price
ICICIBANK.NS,20.516926,3.3143253,5.1909018,,2.00654E+12,
ICICIGI.NS,36.292576,6.092164,3.8130686,27.518,61955899392,
ICICIPRULI.NS,79.65687,7.859639,1.3228014,56.833,64295899136,
ISEC.NS,13.86558,5.2296715,6.2624364,,42638598144,
IDBI.NS,12.963381,1.6072365,5.130522,,1.92895E+11,
IDFCFIRSTB.NS,25.045113,1.2784494,2.3516228,,2.07558E+11,
IFCI.NS,89.92308,1.7569965,8.983525,,16438400000,
IIFL.NS,47.76376,1.4251252,2.9113503,,60780797952,
INOXINDIA.NS,47.62807,12.262299,8.205564,37.193,7284996096,
IRB.NS,4.755825,1.5789962,4.363781,15.834,39686111232,
IRCON.NS,24.272963,2.7917392,1.6113287,22.598,11445099520,270
ITC.NS,28.120634,7.911472,7.3582697,20.019,4.33446E+11,
ITI.NS,,16.647915,8.522916,-136.732,1361686016,
INDGN.NS,35.748238,5.5779905,5.149187,23.976,28393000960,
INDIACEM.NS,2.159601,0.99421495,2.4429226,-29.74,6727199744,251.5
INDIAMART.NS,25.446808,6.403906,10.083527,22.12,7772250112,
INDIANB.NS,7.116282,1.1202132,2.585069,,3.10105E+11,
IEX.NS,40.185947,15.187007,26.320335,27.919,6573668864,
INDHOTEL.NS,57.77778,9.881519,12.876515,38.19,56405700608,
IOC.NS,14.547112,1.0600927,0.26744574,9.476,1.0132E+12,170
IOB.NS,21.307262,2.2785113,5.957173,,1.23288E+11,
IRCTC.NS,51.15484,17.995914,13.888169,40.242,17309747200,
IRFC.NS,28.148592,3.4701455,27.503998,,66606399488,
IREDA.NS,30.394047,4.543551,19.974594,,23281700864,
IGL.NS,17.030529,2.7221174,1.9358112,12.843,38546198528,
INDUSTOWER.NS,10.195605,3.1542473,3.3317056,6.599,1.63916E+11,
INDUSINDBK.NS,24.186817,0.9611792,3.1824665,,1.95861E+11,
NAUKRI.NS,170.54398,2.2781348,34.584087,102.587,14675460096,
INFY.NS,24.278034,573.476,339.80792,1436.898,5872000000,
INOXWIND.NS,81.119156,9.348732,8.844721,49.02,10172279808,
INTELLECT.NS,57.331043,5.371081,6.035231,27.299,9777399808,
INDIGO.NS,28.874327,22.357155,2.5921092,12.016,2.6768E+11,
IPCALAB.NS,50.963142,5.5467877,4.2620964,24.356,56988999680,
JBCHEPHARM.NS,40.98242,7.7161264,6.7692256,25.269,26014400512,
JKCEMENT.NS,55.759975,6.6148696,3.342149,19.835,78544896000,
JBMA.NS,85.85094,12.785576,3.1610582,29.482,17654099968,
JKLAKSHMI.NS,37.78186,3.1630394,1.6939205,15.593,32561899520,
JKTYRE.NS,20.964523,2.1326747,0.7053354,9.258,55169998848,315
JMFINANCIL.NS,14.216531,1.2010819,4.2868013,,23800799232,
JSWENERGY.NS,45.20143,3.2178297,7.5023203,25.228,71489699840,
JSWINFRA.NS,39.972183,6.13696,13.315527,27.736,24920199168,
JSWSTEEL.NS,76.41007,3.1735444,1.4922687,14.333,5.3521E+11,
JPPOWER.NS,17.078651,1.7742499,1.8263729,9.858,24573200384,19.85
J&KBANK.NS,5.3141193,0.77790076,1.5923576,,69506801664,83.5
JINDALSAW.NS,7.933113,1.2042735,0.66022986,5.103,88528044032,623
JSL.NS,21.632687,3.2447321,1.377935,12.351,80948903936,
JINDALSTEL.NS,34.295975,2.050106,1.9414309,11.517,2.65689E+11,
JIOFIN.NS,110.9252,1.4494282,89.728226,,19949099008,
JUBLFOOD.NS,195.14748,20.744097,5.3435326,30.563,44634951680,
JUBLINGREA.NS,43.22264,3.6860528,2.5893662,22.064,16067999744,
JUBLPHARMA.NS,21.223503,2.8361626,2.4553776,15.86,49174999040,
JWL.NS,44.125412,6.1630893,4.2960925,28.72,9874376704,
JUSTDIAL.NS,13.3292055,1.6892629,6.821771,8.08,4465399808,869
JYOTHYLAB.NS,33.545185,6.0523534,4.357069,25.033,14274599936,
JYOTICNC.NS,92.3037,19.004408,16.74739,64.22,8494510080,
KPRMILL.NS,47.778927,7.8774962,6.164058,31.281,24981399552,
KEI.NS,46.193684,5.774182,3.431536,31.46,22592550912,
KNRCON.NS,5.1725655,1.5109499,1.208019,4.51,21600047104,278.8
KPITTECH.NS,43.50163,12.456162,6.2124743,28.409,20873099264,
KSB.NS,55.691776,9.5271015,5.47583,40.121,11377240064,
KAJARIACER.NS,48.882164,6.0901303,3.6063309,26.967,17571600384,
KPIL.NS,31.468187,2.8824556,0.85621214,11.42,53773099008,
KALYANKJIL.NS,82.1315,12.196089,2.3417,45.801,32842549248,
KANSAINER.NS,18.025476,3.2095466,2.632787,20.378,27536500736,
KARURVYSYA.NS,9.523849,1.549654,3.3805292,,54678700032,
KAYNES.NS,132.24878,13.490721,14.052144,93.707,8220420096,
KEC.NS,49.14147,4.383055,1.084789,18.981,49326698496,
KFINTECH.NS,55.57513,13.091024,16.35624,34.522,7251859968,
KIRLOSBROS.NS,35.008595,6.954312,3.2427657,23.111,22944000000,
KIRLOSENG.NS,25.802855,4.082204,1.9848776,14,27741399040,
KOTAKBANK.NS,18.765045,2.637622,5.8555336,,7.09423E+11,
KIMS.NS,69.734924,12.576865,8.854155,37.942,19086999552,
LTF.NS,16.473534,1.6888403,5.6172647,,76790104064,
LTTS.NS,37.828564,7.855065,4.4755116,24.06,49815998464,
LICHSGFIN.NS,6.0999894,0.9128844,4.000541,,81849597952,
LTIM.NS,32.997223,6.6719923,3.9844902,23.534,1.04282E+11,
